index,gamma,rho_obs,z,mu_T,rho_N,residual,ratio,spacing
202,488.380567090017450,0.692836144931,1.9175184019,0.6764955439,0.468700564673,0.224135580257,1.4782063372,1.851848828366
203,489.661761577956156,0.693253117789,1.9186724311,0.6766322331,0.469077405178,0.224175712611,1.4779077187,1.281194487939
204,491.398821593663001,0.693816715963,1.9202322658,0.6768168104,0.469586816714,0.224229899249,1.4775046728,1.737060015707
205,493.314441581785275,0.694435943481,1.9219460623,0.6770193713,0.470146585839,0.224289357642,1.4770626107,1.915619988122
206,493.957997805369473,0.694643434675,1.9225203225,0.6770871905,0.470334171606,0.224309263069,1.4769146633,0.643556223584
207,495.358828822131272,0.695094148387,1.9237677341,0.6772344130,0.470741677593,0.224352470794,1.4765936000,1.400831016762
208,496.429696215759122,0.695437838400,1.9247189430,0.6773465897,0.471052448198,0.224385390201,1.4763490585,1.070867393628
209,498.580782429686565,0.696125984997,1.9266234824,0.6775709666,0.471674756505,0.224451228492,1.4758601672,2.151086213927
210,500.309084941690514,0.696676732724,1.9281477518,0.6777503257,0.472172882498,0.224503850226,1.4754695971,1.728302512004
211,501.604446965145485,0.697088271999,1.9292867428,0.6778842235,0.472545141956,0.224543130043,1.4751781578,1.295362023455
212,502.276270327118254,0.697301293373,1.9298763085,0.6779534895,0.472737845066,0.224563448307,1.4750274399,0.671823361973
213,506.464152709523546,0.698622794914,1.9335337440,0.6783825454,0.473933509863,0.224689285051,1.4740945309,4.187882382405
214,508.800700336467798,0.699355359939,1.9355612175,0.6786199130,0.474596473532,0.224758886407,1.4735789222,2.336547626944
215,510.264227943672836,0.699812500218,1.9368264155,0.6787678650,0.475010236701,0.224802263517,1.4732577240,1.463527607205
216,511.562289700374606,0.700216860553,1.9379455378,0.6788986251,0.475376263923,0.224840596629,1.4729739655,1.298061756702
217,512.623144531407434,0.700546567156,1.9388580457,0.6790051678,0.475674739397,0.224871827759,1.4727428411,1.060854831033
218,513.668985555473682,0.700870940347,1.9397557927,0.6791099203,0.475968408425,0.224902531922,1.4725156711,1.045841024066
219,515.435057167299419,0.701417200572,1.9412676423,0.6792861790,0.476463010076,0.224954190496,1.4721335880,1.766071611826
